,time,X,Y,Z,marker,stad,Profit,TP,LP,Sum,TH
122,00:02.44,-3.6328125,-45.9140625,46.6315612793,Marker 0,梦,0,0,0,0,0.0
123,00:02.46,-4.0703125,-45.578125,46.591217041,Marker 0,梦,0,0,0,0,0.0
124,00:02.48,-4.421875,-45.328125,46.6335754395,Marker 0,梦,0,0,0,0,0.0
125,00:02.50,-4.5859375,-45.25,46.6893615723,Marker 0,梦,0,0,0,0,0.0
126,00:02.52,-4.5859375,-45.3828125,46.7266845703,Marker 0,梦,0,0,0,0,0.0
127,00:02.54,-4.4375,-45.6796875,46.7277832031,Marker 0,梦,0,0,0,0,0.0
128,00:02.56,-4.2265625,-46.1171875,46.7004699707,Marker 0,梦,0,0,0,0,0.0
129,00:02.58,-3.984375,-46.671875,46.6619567871,Marker 0,梦,0,0,0,0,0.0
130,00:02.60,-3.7578125,-47.203125,46.645111084,Marker 0,梦,0,0,0,0,0.0
131,00:02.62,-3.5546875,-47.5859375,46.6618041992,Marker 0,梦,0,0,0,0,0.0
132,00:02.64,-3.40625,-47.75,46.7451171875,Marker 0,梦,0,0,0,0,0.0
133,00:02.66,-3.28125,-47.7421875,46.7854309082,Marker 0,梦,0,0,0,0,0.0
134,00:02.68,-3.171875,-47.7109375,46.7372741699,Marker 0,梦,0,0,0,0,0.0
135,00:02.70,-3.0703125,-47.609375,46.6767883301,Marker 0,梦,0,0,0,0,0.0
136,00:02.72,-3.046875,-47.4453125,46.6474914551,Marker 0,梦,0,0,0,0,0.0
137,00:02.74,-3.0703125,-47.2890625,46.5961303711,Marker 0,梦,0,0,0,0,0.0
138,00:02.76,-3.1015625,-47.1640625,46.5406799316,Marker 0,梦,0,0,0,0,0.0
139,00:02.78,-3.1328125,-47.078125,46.4766845703,Marker 0,梦,0,0,0,0,0.0
140,00:02.80,-3.15625,-47.0546875,46.4495849609,Marker 0,梦,0,0,0,0,0.0
141,00:02.82,-3.171875,-47.046875,46.4761962891,Marker 0,梦,0,0,0,0,0.0
142,00:02.84,-3.1640625,-47.03125,46.5596618652,Marker 0,梦,0,0,0,0,0.0
143,00:02.86,-3.15625,-47.09375,46.5909729004,Marker 0,梦,0,0,0,0,0.0
144,00:02.88,-3.1640625,-47.1875,46.5780944824,Marker 0,梦,0,0,0,0,0.0
145,00:02.90,-3.21875,-47.28125,46.5510253906,Marker 0,梦,0,0,0,0,0.0
146,00:02.92,-3.296875,-47.3359375,46.5472106934,Marker 0,梦,0,0,0,0,0.0
147,00:02.94,-3.328125,-47.421875,46.5295410156,Marker 0,梦,0,0,0,0,0.0
148,00:02.96,-3.2890625,-47.5703125,46.4570922852,Marker 0,梦,0,0,0,0,0.0
149,00:02.98,-3.1796875,-47.7734375,46.3536376953,Marker 0,梦,0,0,0,0,0.0
150,00:03.0,-3.171875,-47.84375,46.3417663574,Marker 0,梦,0,0,0,0,0.0
151,00:03.2,-3.3515625,-47.75,46.4163818359,Marker 0,梦,0,0,0,0,0.0
152,00:03.4,-3.7109375,-47.578125,46.4817504883,Marker 0,梦,0,0,0,0,0.0
153,00:03.6,-4.125,-47.40625,46.5097351074,Marker 0,梦,0,0,0,0,0.0
154,00:03.8,-4.515625,-47.3125,46.4991149902,Marker 0,梦,0,0,0,0,0.0
155,00:03.10,-4.828125,-47.2890625,46.486114502,Marker 0,梦,0,0,0,0,0.0
156,00:03.12,-5.0078125,-47.359375,46.4817810059,Marker 0,梦,0,0,0,0,0.0
157,00:03.14,-5.046875,-47.46875,46.4825134277,Marker 0,梦,0,0,0,0,0.0
158,00:03.16,-4.9765625,-47.6171875,46.4552612305,Marker 0,梦,0,0,0,0,0.0
159,00:03.18,-4.8203125,-47.7734375,46.4459228516,Marker 0,梦,0,0,0,0,0.0
160,00:03.20,-4.59375,-47.8828125,46.4678955078,Marker 0,梦,0,0,0,0,0.0
161,00:03.22,-4.3515625,-47.9765625,46.4717102051,Marker 0,梦,0,0,0,0,0.0
162,00:03.24,-4.1015625,-47.9921875,46.4829406738,Marker 0,梦,0,0,0,0,0.0
163,00:03.26,-3.9296875,-47.9609375,46.4819030762,Marker 0,梦,0,0,0,0,0.0
164,00:03.28,-3.8359375,-47.8671875,46.5037536621,Marker 0,梦,0,0,0,0,0.0
165,00:03.30,-3.8125,-47.765625,46.5348205566,Marker 0,梦,0,0,0,0,0.0
166,00:03.32,-3.8203125,-47.6640625,46.5440368652,Marker 0,梦,0,0,0,0,0.0
167,00:03.34,-3.875,-47.6171875,46.5208435059,Marker 0,梦,0,0,0,0,0.0
168,00:03.36,-3.984375,-47.546875,46.4933166504,Marker 0,梦,0,0,0,0,0.0
169,00:03.38,-4.1015625,-47.5078125,46.4521484375,Marker 0,梦,0,0,0,0,0.0
170,00:03.40,-4.25,-47.484375,46.4252929688,Marker 0,梦,0,0,0,0,0.0
171,00:03.42,-4.3984375,-47.4609375,46.4127502441,Marker 0,梦,0,0,0,0,0.0
172,00:03.44,-4.5078125,-47.4453125,46.4042358398,Marker 0,梦,0,0,0,0,0.0
173,00:03.46,-4.59375,-47.4609375,46.3814086914,Marker 0,梦,0,0,0,0,0.0
174,00:03.48,-4.6484375,-47.421875,46.3867492676,Marker 0,梦,0,0,0,0,0.0
175,00:03.50,-4.703125,-47.3828125,46.3924255371,Marker 0,梦,0,0,0,0,0.0
176,00:03.52,-4.734375,-47.40625,46.3785095215,Marker 0,梦,0,0,0,0,0.0
177,00:03.54,-4.734375,-47.46875,46.3603820801,Marker 0,梦,0,0,0,0,0.0
178,00:03.56,-4.71875,-47.5703125,46.3423461914,Marker 0,梦,0,0,0,0,0.0
179,00:03.58,-4.6875,-47.703125,46.3486022949,Marker 0,梦,0,0,0,0,0.0
180,00:03.60,-4.625,-47.8828125,46.3530883789,Marker 0,梦,0,0,0,0,0.0
181,00:03.62,-4.5625,-48.0703125,46.3411560059,Marker 0,梦,0,0,0,0,0.0
182,00:03.64,-4.484375,-48.2578125,46.3227539062,Marker 0,梦,0,0,0,0,0.0
183,00:03.66,-4.4765625,-48.4375,46.310333252,Marker 0,梦,0,0,0,0,0.0
184,00:03.68,-4.546875,-48.625,46.2979736328,Marker 0,梦,0,0,0,0,0.0
185,00:03.70,-4.65625,-48.8125,46.2906799316,Marker 0,梦,0,0,0,0,0.0
186,00:03.72,-4.734375,-49.0078125,46.3158569336,Marker 0,梦,0,0,0,0,0.0
187,00:03.74,-4.75,-49.203125,46.3440551758,Marker 0,梦,0,0,0,0,0.0
188,00:03.76,-4.75,-49.4296875,46.3363342285,Marker 0,梦,0,0,0,0,0.0
189,00:03.78,-4.8203125,-49.640625,46.3476867676,Marker 0,梦,0,0,0,0,0.0
190,00:03.80,-4.9921875,-49.859375,46.3624572754,Marker 0,梦,0,0,0,0,0.0
191,00:03.82,-5.1953125,-50.0234375,46.4107055664,Marker 0,梦,0,0,0,0,0.0
192,00:03.84,-5.375,-50.140625,46.434753418,Marker 0,梦,0,0,0,0,0.0
193,00:03.86,-5.53125,-50.0859375,46.4312133789,Marker 0,梦,0,0,0,0,0.0
194,00:03.88,-5.6640625,-49.890625,46.3941040039,Marker 0,梦,0,0,0,0,0.0
195,00:03.90,-5.765625,-49.5859375,46.3519897461,Marker 0,梦,0,0,0,0,0.0
196,00:03.92,-5.8359375,-49.234375,46.2991943359,Marker 0,梦,0,0,0,0,0.0
197,00:03.94,-5.8828125,-48.875,46.2474060059,Marker 0,梦,0,0,0,0,0.0
198,00:03.96,-5.90625,-48.5390625,46.2363891602,Marker 0,梦,0,0,0,0,0.0
199,00:03.98,-5.8671875,-48.25,46.2716369629,Marker 0,梦,0,0,0,0,0.0
200,00:04.0,-5.7578125,-48.0546875,46.2883911133,Marker 0,梦,0,0,0,0,0.0
201,00:04.2,-5.65625,-47.9609375,46.2774353027,Marker 0,梦,0,0,0,0,0.0
202,00:04.4,-5.6015625,-48.0078125,46.2260131836,Marker 0,梦,0,0,0,0,0.0
203,00:04.6,-5.609375,-48.1640625,46.1903381348,Marker 0,梦,0,0,0,0,0.0
204,00:04.8,-5.65625,-48.3671875,46.1963195801,Marker 0,梦,0,0,0,0,0.0
205,00:04.10,-5.6875,-48.5859375,46.248260498,Marker 0,梦,0,0,0,0,0.0
206,00:04.12,-5.6953125,-48.828125,46.3057250977,Marker 0,梦,0,0,0,0,0.0
207,00:04.14,-5.6796875,-49.0390625,46.37109375,Marker 0,梦,0,0,0,0,0.0
208,00:04.16,-5.625,-49.1953125,46.4142150879,Marker 0,梦,0,0,0,0,0.0
209,00:04.18,-5.546875,-49.296875,46.4225769043,Marker 0,梦,0,0,0,0,0.0
210,00:04.20,-5.4375,-49.3515625,46.3990783691,Marker 0,梦,0,0,0,0,0.0
211,00:04.22,-5.2734375,-49.3046875,46.3793029785,Marker 0,梦,0,0,0,0,0.0
212,00:04.24,-5.1015625,-49.2109375,46.350769043,Marker 0,梦,0,0,0,0,0.0
213,00:04.26,-4.8984375,-49.1171875,46.2978515625,Marker 0,梦,0,0,0,0,0.0
214,00:04.28,-4.7109375,-49.0390625,46.2331542969,Marker 0,梦,0,0,0,0,0.0
215,00:04.30,-4.5546875,-48.9453125,46.2045898438,Marker 0,梦,0,0,0,0,0.0
216,00:04.32,-4.4765625,-48.8828125,46.2227172852,Marker 0,梦,0,0,0,0,0.0
217,00:04.34,-4.46875,-48.8359375,46.2959594727,Marker 0,梦,0,0,0,0,0.0
218,00:04.36,-4.5234375,-48.8984375,46.361328125,Marker 0,梦,0,0,0,0,0.0
219,00:04.38,-4.6015625,-49.0,46.3995056152,Marker 0,梦,0,0,0,0,0.0
220,00:04.40,-4.671875,-49.109375,46.3865966797,Marker 0,梦,0,0,0,0,0.0
221,00:04.42,-4.734375,-49.1640625,46.3591308594,Marker 0,梦,0,0,0,0,0.0
222,00:04.44,-4.7578125,-49.1796875,46.3455810547,Marker 0,梦,0,0,0,0,0.0
223,00:04.46,-4.78125,-49.1953125,46.3403625488,Marker 0,梦,0,0,0,0,0.0
224,00:04.48,-4.828125,-49.2109375,46.3360290527,Marker 0,梦,0,0,0,0,0.0
225,00:04.50,-4.8828125,-49.2109375,46.3489685059,Marker 0,梦,0,0,0,0,0.0
226,00:04.52,-4.9296875,-49.234375,46.3391723633,Marker 0,梦,0,0,0,0,0.0
227,00:04.54,-4.9140625,-49.265625,46.2965698242,Marker 0,梦,0,0,0,0,0.0
228,00:04.56,-4.890625,-49.2890625,46.2269592285,Marker 0,梦,0,0,0,0,0.0
229,00:04.58,-4.875,-49.25,46.1946716309,Marker 0,梦,0,0,0,0,0.0
230,00:04.60,-4.984375,-49.15625,46.2267150879,Marker 0,梦,0,0,0,0,0.0
231,00:04.62,-5.203125,-49.0859375,46.2855224609,Marker 0,梦,0,0,0,0,0.0
232,00:04.64,-5.5234375,-49.046875,46.3551635742,Marker 0,梦,0,0,0,0,0.0
233,00:04.66,-5.8671875,-49.03125,46.3753356934,Marker 0,梦,0,0,0,0,0.0
234,00:04.68,-6.2109375,-49.0078125,46.3724060059,Marker 0,梦,0,0,0,0,0.0
235,00:04.70,-6.5390625,-48.9609375,46.3469848633,Marker 0,梦,0,0,0,0,0.0
236,00:04.72,-6.8515625,-48.90625,46.3249511719,Marker 0,梦,0,0,0,0,0.0
237,00:04.74,-7.1484375,-48.828125,46.3272399902,Marker 0,梦,0,0,0,0,0.0
238,00:04.76,-7.421875,-48.7265625,46.3274536133,Marker 0,梦,0,0,0,0,0.0
239,00:04.78,-7.6171875,-48.6328125,46.3131713867,Marker 0,梦,0,0,0,0,0.0
240,00:04.80,-7.7265625,-48.53125,46.3057250977,Marker 0,梦,0,0,0,0,0.0
241,00:04.82,-7.7421875,-48.4453125,46.3037719727,Marker 0,梦,0,0,0,0,0.0
242,00:04.84,-7.71875,-48.3828125,46.3125915527,Marker 0,梦,0,0,0,0,0.0
243,00:04.86,-7.6484375,-48.390625,46.3397216797,Marker 0,梦,0,0,0,0,0.0
244,00:04.88,-7.4921875,-48.46875,46.3766479492,Marker 0,梦,0,0,0,0,0.0
245,00:04.90,-7.3359375,-48.578125,46.3858032227,Marker 0,梦,0,0,0,0,0.0
246,00:04.92,-7.203125,-48.6953125,46.3666992188,Marker 0,梦,0,0,0,0,0.0
247,00:04.94,-7.0859375,-48.78125,46.3385009766,Marker 0,梦,0,0,0,0,0.0
248,00:04.96,-7.0234375,-48.796875,46.300567627,Marker 0,梦,0,0,0,0,0.0
249,00:04.98,-6.9765625,-48.7578125,46.2637023926,Marker 0,梦,0,0,0,0,0.0
250,00:05.0,-6.9765625,-48.6328125,46.2719116211,Marker 0,梦,0,0,0,0,0.0
251,00:05.2,-7.0,-48.4453125,46.3044128418,Marker 0,梦,0,0,0,0,0.0
252,00:05.4,-7.0703125,-48.234375,46.3402099609,Marker 0,梦,0,0,0,0,0.0
253,00:05.6,-7.1484375,-48.03125,46.344543457,Marker 0,梦,0,0,0,0,0.0
254,00:05.8,-7.2109375,-47.875,46.3385620117,Marker 0,梦,0,0,0,0,0.0
255,00:05.10,-7.2890625,-47.7890625,46.3110961914,Marker 0,梦,0,0,0,0,0.0
256,00:05.12,-7.34375,-47.7890625,46.2937927246,Marker 0,梦,0,0,0,0,0.0
257,00:05.14,-7.3828125,-47.8828125,46.2752685547,Marker 0,梦,0,0,0,0,0.0
258,00:05.16,-7.4140625,-48.03125,46.2712097168,Marker 0,梦,0,0,0,0,0.0
259,00:05.18,-7.4453125,-48.1953125,46.2854003906,Marker 0,梦,0,0,0,0,0.0
260,00:05.20,-7.4765625,-48.3359375,46.3229675293,Marker 0,梦,0,0,0,0,0.0
261,00:05.22,-7.4609375,-48.4453125,46.3424377441,Marker 0,梦,0,0,0,0,0.0
262,00:05.24,-7.4375,-48.5,46.34765625,Marker 0,梦,0,0,0,0,0.0
263,00:05.26,-7.3984375,-48.53125,46.3431091309,Marker 0,梦,0,0,0,0,0.0
264,00:05.28,-7.3515625,-48.5078125,46.3249511719,Marker 0,梦,0,0,0,0,0.0
265,00:05.30,-7.2890625,-48.5,46.2794189453,Marker 0,梦,0,0,0,0,0.0
266,00:05.32,-7.1875,-48.5,46.2229309082,Marker 0,梦,0,0,0,0,0.0
267,00:05.34,-7.046875,-48.515625,46.1904907227,Marker 0,梦,0,0,0,0,0.0
268,00:05.36,-6.9375,-48.546875,46.1949157715,Marker 0,梦,0,0,0,0,0.0
269,00:05.38,-6.8984375,-48.609375,46.2419128418,Marker 0,梦,0,0,0,0,0.0
270,00:05.40,-6.9765625,-48.6875,46.2941589355,Marker 0,梦,0,0,0,0,0.0
271,00:05.42,-7.125,-48.8125,46.3333435059,Marker 0,梦,0,0,0,0,0.0
272,00:05.44,-7.2578125,-48.9453125,46.3388366699,Marker 0,梦,0,0,0,0,0.0
273,00:05.46,-7.3515625,-49.078125,46.3128662109,Marker 0,梦,0,0,0,0,0.0
274,00:05.48,-7.3984375,-49.171875,46.2937011719,Marker 0,梦,0,0,0,0,0.0
275,00:05.50,-7.3984375,-49.234375,46.2716369629,Marker 0,梦,0,0,0,0,0.0
276,00:05.52,-7.359375,-49.2265625,46.2571411133,Marker 0,梦,0,0,0,0,0.0
277,00:05.54,-7.2734375,-49.203125,46.2336730957,Marker 0,梦,0,0,0,0,0.0
278,00:05.56,-7.15625,-49.15625,46.2189941406,Marker 0,梦,0,0,0,0,0.0
279,00:05.58,-7.0546875,-49.09375,46.2138061523,Marker 0,梦,0,0,0,0,0.0
280,00:05.60,-6.9296875,-49.0625,46.1996459961,Marker 0,梦,0,0,0,0,0.0
281,00:05.62,-6.8125,-49.0546875,46.1669921875,Marker 0,梦,0,0,0,0,0.0
282,00:05.64,-6.6953125,-49.1015625,46.1163024902,Marker 0,梦,0,0,0,0,0.0
283,00:05.66,-6.5859375,-49.1640625,46.0940856934,Marker 0,梦,0,0,0,0,0.0
284,00:05.68,-6.4765625,-49.2890625,46.0991210938,Marker 0,梦,0,0,0,0,0.0
