,time,X,Y,Z,marker,stad,Profit,TP,LP,Sum,TH
91,00:01.82,-3.6328125,-118.734375,-67.6177978516,Marker 0,梦,0,0,0,0,0.0
92,00:01.84,-3.6484375,-118.703125,-67.622253418,Marker 0,梦,0,0,0,0,0.0
93,00:01.86,-3.6796875,-118.6015625,-67.6410522461,Marker 0,梦,0,0,0,0,0.0
94,00:01.88,-3.71875,-118.515625,-67.640411377,Marker 0,梦,0,0,0,0,0.0
95,00:01.90,-3.78125,-118.4375,-67.6212768555,Marker 0,梦,0,0,0,0,0.0
96,00:01.92,-3.84375,-118.34375,-67.6109924316,Marker 0,梦,0,0,0,0,0.0
97,00:01.94,-3.921875,-118.2109375,-67.6104736328,Marker 0,梦,0,0,0,0,0.0
98,00:01.96,-3.9921875,-118.1171875,-67.5827331543,Marker 0,梦,0,0,0,0,0.0
99,00:01.98,-4.0625,-118.046875,-67.540802002,Marker 0,梦,0,0,0,0,0.0
100,00:02.0,-4.125,-117.9921875,-67.5039672852,Marker 0,梦,0,0,0,0,0.0
101,00:02.2,-4.15625,-117.9296875,-67.4894714355,Marker 0,梦,0,0,0,0,0.0
102,00:02.4,-4.1796875,-117.8828125,-67.4792175293,Marker 0,梦,0,0,0,0,0.0
103,00:02.6,-4.1875,-117.859375,-67.4743652344,Marker 0,梦,0,0,0,0,0.0
104,00:02.8,-4.1796875,-117.84375,-67.5018005371,Marker 0,梦,0,0,0,0,0.0
105,00:02.10,-4.1484375,-117.7890625,-67.5573120117,Marker 0,梦,0,0,0,0,0.0
106,00:02.12,-4.1015625,-117.78125,-67.5803833008,Marker 0,梦,0,0,0,0,0.0
107,00:02.14,-4.015625,-117.8046875,-67.570892334,Marker 0,梦,0,0,0,0,0.0
108,00:02.16,-3.90625,-117.8671875,-67.5287780762,Marker 0,梦,0,0,0,0,0.0
109,00:02.18,-3.8046875,-117.8671875,-67.5179748535,Marker 0,梦,0,0,0,0,0.0
