,time,X,Y,Z,marker,stad,Profit,TP,LP,Sum,TH
32073,10:41.46,6.609375,-8.5078125,-62.0924682617,Marker 41,Contrib per10 res,1,21,0,117,125.61
32074,10:41.48,6.578125,-7.9453125,-62.0924987793,Marker 41,Contrib per10 res,1,21,0,117,125.61
32075,10:41.50,6.5,-7.46875,-62.2076721191,Marker 41,Contrib per10 res,1,21,0,117,125.61
32076,10:41.52,6.4375,-7.1875,-62.3836975098,Marker 41,Contrib per10 res,1,21,0,117,125.61
32077,10:41.54,6.484375,-7.203125,-62.4851989746,Marker 41,Contrib per10 res,1,21,0,117,125.61
32078,10:41.56,6.6171875,-7.53125,-62.4484863281,Marker 41,Contrib per10 res,1,21,0,117,125.61
32079,10:41.58,6.75,-8.0625,-62.3500976562,Marker 41,Contrib per10 res,1,21,0,117,125.61
32080,10:41.60,6.890625,-8.671875,-62.2490234375,Marker 41,Contrib per10 res,1,21,0,117,125.61
32081,10:41.62,7.0390625,-9.3359375,-62.1909484863,Marker 41,Contrib per10 res,1,21,0,117,125.61
32082,10:41.64,7.171875,-10.03125,-62.2097473145,Marker 41,Contrib per10 res,1,21,0,117,125.61
32083,10:41.66,7.2578125,-10.734375,-62.2279968262,Marker 41,Contrib per10 res,1,21,0,117,125.61
32084,10:41.68,7.1796875,-11.3671875,-62.2244567871,Marker 41,Contrib per10 res,1,21,0,117,125.61
32085,10:41.70,6.9140625,-11.859375,-62.2067871094,Marker 41,Contrib per10 res,1,21,0,117,125.61
32086,10:41.72,6.484375,-12.2109375,-62.1368408203,Marker 41,Contrib per10 res,1,21,0,117,125.61
32087,10:41.74,5.96875,-12.453125,-62.0102844238,Marker 41,Contrib per10 res,1,21,0,117,125.61
32088,10:41.76,5.4921875,-12.59375,-61.8994445801,Marker 41,Contrib per10 res,1,21,0,117,125.61
32089,10:41.78,5.1640625,-12.6015625,-61.8426208496,Marker 41,Contrib per10 res,1,21,0,117,125.61
32090,10:41.80,4.9296875,-12.4765625,-61.9551696777,Marker 41,Contrib per10 res,1,21,0,117,125.61
32091,10:41.82,4.7421875,-12.328125,-62.1481933594,Marker 41,Contrib per10 res,1,21,0,117,125.61
32092,10:41.84,4.546875,-12.1875,-62.2142944336,Marker 41,Contrib per10 res,1,21,0,117,125.61
32093,10:41.86,4.3984375,-12.1171875,-62.0979614258,Marker 41,Contrib per10 res,1,21,0,117,125.61
32094,10:41.88,4.2890625,-12.078125,-61.8372192383,Marker 41,Contrib per10 res,1,21,0,117,125.61
32095,10:41.90,4.21875,-12.0625,-61.5640563965,Marker 41,Contrib per10 res,1,21,0,117,125.61
32096,10:41.92,4.203125,-12.09375,-61.4017028809,Marker 41,Contrib per10 res,1,21,0,117,125.61
32097,10:41.94,4.28125,-12.171875,-61.3586120605,Marker 41,Contrib per10 res,1,21,0,117,125.61
32098,10:41.96,4.4296875,-12.2890625,-61.4696350098,Marker 41,Contrib per10 res,1,21,0,117,125.61
32099,10:41.98,4.625,-12.4453125,-61.6568603516,Marker 41,Contrib per10 res,1,21,0,117,125.61
32100,10:42.0,4.8046875,-12.6484375,-61.7763061523,Marker 41,Contrib per10 res,1,21,0,117,125.61
